"seminals","structurals","currents"
"Wasserman S., 1994, Social Network Anal, P249","Cross R, 2002, Calif Manage Rev, V44, P25","Farine Dr, 2015, J Anim Ecol, V84, P1144, Doi 10.1111/1365-2656.12418"
"Scott J., 1991, Social Network Anal, P92","Borgatti Sp, 2009, J Supply Chain Manag, V45, P5, Doi 10.1111/j.1745-493x.2009.03166.x","Conway S, 2014, Brit J Manage, V25, P102, Doi 10.1111/j.1467-8551.2012.00835.x"
"Freeman Lc, 1979, Soc Networks, V1, P215, Doi 10.1016/0378-8733(78)90021-7","Burt Rs, 2013, Annu Rev Psychol, V64, P527, Doi 10.1146/annurev-psych-113011-143828","Rose Pe, 2015, Anim Welfare, V24, P123, Doi 10.7120/09627286.24.2.123"
"Borgatti S. P., 2002, Ucinet Windows Softw","Fattore G, 2009, Health Policy, V92, P141, Doi 10.1016/j.healthpol.2009.03.005","El Louadi M, 2008, Knowl Man Res Pract, V6, P199, Doi 10.1057/kmrp.2008.9"
"Granovetter Ms, 1973, Am J Sociol, V78, P1360, Doi 10.1086/225469","Hu C, 2008, Int J Hosp Manag, V27, P302, Doi 10.1016/j.ijhm.2007.01.002","Ho Y, 2013, Asia Pac J Manag, V30, P1265, Doi 10.1007/s10490-011-9268-2"
"Burt R. S., 1992, Structural Holes Soc","Kasper C, 2009, Primates, V50, P343, Doi 10.1007/s10329-009-0153-2","Diez-vial I, 2014, Knowl Man Res Pract, V12, P276, Doi 10.1057/kmrp.2014.7"
"Borgatti Sp, 2003, J Manage, V29, P991, Doi 10.1016/s0149-2063(03)00087-4","James R, 2009, Behav Ecol Sociobiol, V63, P989, Doi 10.1007/s00265-009-0742-5","Sutanto J, 2011, Long Range Plann, V44, P421, Doi 10.1016/j.lrp.2011.09.001"
"Hanneman Ra, 2005, Intro Social Network","Yousefi-nooraie R, 2012, Bmc Health Serv Res, V12, Doi 10.1186/1472-6963-12-118","Garcia Md, 2016, Rev Esp Investig Soc, P23, Doi 10.5477/cis/reis.153.23"
"Borgatti Sp, 2009, Science, V323, P892, Doi 10.1126/science.1165821","Makagon Mm, 2012, Appl Anim Behav Sci, V138, P152, Doi 10.1016/j.applanim.2012.02.003","Khan Gf, 2016, Commun Assoc Inf Sys, V39, P367"
"Borgatti Sp, 2005, Soc Networks, V27, P55, Doi 10.1016/j.socnet.2004.11.008","Allen J, 2007, R&d Manage, V37, P179, Doi 10.1111/j.1467-9310.2007.00468.x","Zheng X, 2016, Int J Proj Manag, V34, P1214, Doi 10.1016/j.ijproman.2016.06.005"
